발생일시,경도,위도,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
2020-01-01 9:47,37.55366527,127.0416328,,,,,,
2020-01-01 9:50,37.6350152,127.0289101,,,,,,
2020-01-01 10:07,37.5980603,126.9111043,,,,,,
2020-01-01 11:44,37.460732,127.0355764,,,,,,
2020-01-01 12:00,37.57502357,126.9804272,,,,,,
2020-01-01 12:19,37.56117792,127.0359992,,,,,,
2020-01-01 12:45,37.51860418,127.010339,,,,,,
2020-01-01 13:19,37.5324982,126.9077717,,,,,,
2020-01-01 13:48,37.6212959,127.0282476,,,,,,
2020-01-01 13:53,37.5047531,127.1064263,,,,,,
2020-01-01 13:56,37.4773468,126.898957,,,,,,
2020-01-01 14:00,37.5884821,127.0940659,,,,,,
2020-01-01 14:14,37.5874977,127.0942203,,,,,,
2020-01-01 14:28,37.48213049,126.8862429,,,,,,
2020-01-01 14:38,37.50847621,127.0164112,,,,,,
2020-01-01 15:07,37.5225651,127.0373392,,,,,,
2020-01-01 15:14,37.64686551,127.056571,,,,,,
2020-01-01 15:23,37.52909453,127.0333702,,,,,,
2020-01-01 15:38,37.53119379,127.0235607,,,,,,
2020-01-01 15:52,37.6240965,126.9170222,,,,,,
2020-01-01 16:18,37.5604342,126.9762701,,,,,,
2020-01-01 16:18,37.6028591,127.0171863,,,,,,
2020-01-01 16:29,37.52803425,126.9251642,,,,,,
2020-01-01 17:00,37.4826333,126.8873149,,,,,,
2020-01-01 17:05,37.54819738,127.0393426,,,,,,
2020-01-01 18:16,37.5426728,126.9536573,,,,,,
2020-01-01 19:36,37.51682958,126.9199796,,,,,,
2020-01-01 19:53,37.5203242,126.9149052,,,,,,
2020-01-01 20:37,37.52318171,127.0020702,,,,,,
2020-01-02 7:04,37.5165838,126.9752731,,,,,,
2020-01-02 7:36,37.55164618,127.0411251,,,,,,
2020-01-02 7:40,37.571578,127.0088885,,,,,,
2020-01-02 8:05,37.5499565,127.0384538,,,,,,
2020-01-02 8:07,37.58553436,127.0358111,,,,,,
2020-01-02 8:30,37.55815794,126.8431191,,,,,,
2020-01-02 8:31,37.58587315,127.0011096,,,,,,
2020-01-02 9:04,37.48640224,127.0102836,,,,,,
2020-01-02 9:08,37.58498611,126.9355563,,,,,,
2020-01-02 9:18,37.60625145,126.9732104,,,,,,
2020-01-02 9:37,37.5570532,126.9458743,,,,,,
2020-01-02 9:59,37.6085477,127.0648579,,,,,,
2020-01-02 10:05,37.6092748,127.0640881,,,,,,
2020-01-02 10:07,37.5312605,126.8313979,,,,,,
2020-01-02 10:23,37.4884721,126.9824621,,,,,,
2020-01-02 10:26,37.53448991,127.0552131,,,,,,
2020-01-02 10:55,37.546359,127.171445,,,,,,
2020-01-02 11:43,37.5992176,127.0693707,,,,,,
2020-01-02 11:55,37.52611513,126.8830246,,,,,,
2020-01-02 12:09,37.5710011,127.0283348,,,,,,
2020-01-02 12:24,37.59466417,126.918276,,,,,,
2020-01-02 12:27,37.55975198,126.9822647,,,,,,
2020-01-02 12:44,37.5916365,127.0129723,,,,,,
2020-01-02 13:05,37.63824626,127.0593006,,,,,,
2020-01-02 13:40,37.5041272,126.9379104,,,,,,
2020-01-02 13:44,37.51397679,127.058942,,,,,,
2020-01-02 13:46,37.4855144,126.8765595,,,,,,
2020-01-02 13:50,37.50608916,126.9888937,,,,,,
2020-01-02 14:18,37.55960902,127.0731367,,,,,,
2020-01-02 14:21,37.52394811,126.9552475,,,,,,
2020-01-02 14:38,37.5781301,127.0388655,,,,,,
2020-01-02 15:01,37.53882687,127.1227715,,,,,,
2020-01-02 15:01,37.4900243,126.9232053,,,,,,
2020-01-02 15:04,37.57758878,126.9298501,,,,,,
2020-01-02 15:16,37.5314916,126.8677871,,,,,,
2020-01-02 15:18,37.54007726,126.8751049,,,,,,
2020-01-02 15:26,37.54291133,127.0234003,,,,,,
2020-01-02 15:36,37.462264,126.8890695,,,,,,
2020-01-02 16:15,37.4479535,127.125407,,,,,,
2020-01-02 16:24,37.6367211,126.9170562,,,,,,
2020-01-02 16:45,37.53087685,126.8875879,,,,,,
